58.221.60.153 - - [07/Dec/2013:09:54:56 -0600] "GET /manager/html HTTP/1.1" 404 975
188.142.95.190 - - [07/Dec/2013:11:15:02 -0600] "GET /HNAP1/ HTTP/1.1" 404 963
75.179.158.49 - - [07/Dec/2013:13:07:29 -0600] "GET /HNAP1/ HTTP/1.1" 404 963
127.0.0.1 - - [07/Dec/2013:16:31:59 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:32:09 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=true HTTP/1.1" 200 138
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:32:16 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Jason%20Bond&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1467
127.0.0.1 - - [07/Dec/2013:16:32:32 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:32:49 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Jason%20Bond&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1467
127.0.0.1 - - [07/Dec/2013:16:34:42 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:34:42 -0600] "GET /IBTradingServer/WEB-INF/classes/com/IBTrading/servlets/TradeCenter.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:34:47 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Jason%20Bond&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 172
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:35:27 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 204
127.0.0.1 - - [07/Dec/2013:16:36:58 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:38:38 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 204
127.0.0.1 - - [07/Dec/2013:16:39:18 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:16:43:00 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:16:44:22 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:16:44:23 -0600] "GET /IBTradingServer/WEB-INF/classes/com/IBTrading/servlets/IBTradingAPI.java HTTP/1.1" 404 949
127.0.0.1 - - [07/Dec/2013:16:48:19 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:16:48:57 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:16:49:45 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:16:50:17 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:16:25 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:17:49 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:17:17:50 -0600] "GET /IBTradingServer/WEB-INF/classes/com/IBTrading/Traders/DebugTrader.java HTTP/1.1" 404 949
127.0.0.1 - - [07/Dec/2013:17:24:29 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:25:14 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:26:43 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:27:49 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:29:13 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:33:52 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:34:35 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:37:59 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:40:46 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:41:35 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:43:39 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:17:45:30 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:18:13:56 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:18:36:43 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:18:36:52 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:18:39:13 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:18:39:55 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1681
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:18:39:55 -0600] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [07/Dec/2013:18:41:03 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:18:41:41 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1681
127.0.0.1 - - [07/Dec/2013:18:42:33 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:00:31 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:09:12 -0600] "GET / HTTP/1.1" 404 951
