111.74.238.206 - - [08/Dec/2013:06:05:42 -0600] "GET /web-console/ServerInfo.jsp HTTP/1.1" 404 1003
127.0.0.1 - - [08/Dec/2013:10:56:33 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:10:58:00 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:10:59:23 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:13:00 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:15:11 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:17:30 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:18:40 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:24:04 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:24:29 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1614
127.0.0.1 - - [08/Dec/2013:11:36:10 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:37:18 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:37:59 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 163
127.0.0.1 - - [08/Dec/2013:11:45:52 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Dec/2013:11:46:57 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:47:27 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=true&realTimeSystem=email HTTP/1.1" 200 139
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:47:45 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 163
127.0.0.1 - - [08/Dec/2013:11:48:02 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:48:06 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=true&realTimeSystem=email HTTP/1.1" 200 139
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:48:22 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 163
127.0.0.1 - - [08/Dec/2013:11:48:39 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [08/Dec/2013:11:49:17 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 163
