93.174.93.51 - - [27/Mar/2014:02:12:23 -0500] "GET /hello/check.txt HTTP/1.1" 404 981
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:08:58:15 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+5000+MOBI+at+8.50 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:09:02:58 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+5000+MOBI+at+8.50 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:09:14:04 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+10000+DGAZ+at+3.58 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:09:16:18 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+DGAZ HTTP/1.1" 200 273
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:09:35:49 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+END+at+3.22 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:09:36:23 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+10000+END+at+3.22 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:16:46:08 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+ZNGA+at+4.56 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1%0 - - [27/Mar/2014:16:48:27 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+10000+ZNGA+at+4.56 HTTP/1.1" 200 172
159.149.147.93 - - [27/Mar/2014:19:07:17 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:17 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:18 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:18 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:18 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:19 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:19 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:19 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:20 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:20 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:21 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:21 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:21 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:22 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:22 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:22 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:23 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:23 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:23 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:24 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:24 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:24 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:25 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:25 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:25 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:26 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:26 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:26 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:27 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:27 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:27 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:28 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:28 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:29 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:29 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:29 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:30 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:30 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:30 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:31 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:31 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:31 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:32 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:32 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:32 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:33 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:33 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:33 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:34 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:34 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:34 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:35 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:35 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:36 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:36 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:36 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:37 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:37 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:37 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:38 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:38 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:38 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:39 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:39 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:39 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:40 -0500] "GET /manager/html HTTP/1.1" 404 975
159.149.147.93 - - [27/Mar/2014:19:07:40 -0500] "GET /manager/html HTTP/1.1" 404 975
